yyyy-mm-ddTHH:MM:SSZ, TOL_125, TOL_160, TOL_200, TOL_250, TOL_315, TOL_400 
2023-03-01T01:46:00.000Z, 79.033821, 80.835582, 79.316964, 79.564202, 81.417896, 81.410431
2023-03-01T01:48:00.000Z, 78.764973, 79.229830, 78.930461, 79.722522, 80.356545, 81.459776
2023-03-01T01:50:00.000Z, 79.421324, 79.311762, 79.591101, 79.605159, 79.934825, 81.145165
2023-03-01T01:52:00.000Z, 78.875064, 78.386238, 78.568224, 79.059028, 79.610318, 80.620206
2023-03-01T01:54:00.000Z, 79.516342, 78.725429, 78.746291, 79.093442, 80.055211, 81.575281
2023-03-01T01:56:00.000Z, 78.833416, 79.122789, 79.045259, 79.547542, 81.960136, 81.405360
2023-03-01T01:58:00.000Z, 78.956821, 78.922690, 78.565265, 79.065877, 79.822141, 80.998701
2023-03-01T02:00:00.000Z, 80.888752, 80.448768, 79.554559, 79.691733, 79.976995, 81.285370
2023-03-01T02:02:00.000Z, 80.645815, 79.891921, 79.388980, 79.000706, 79.751180, 80.942879
2023-03-01T02:04:00.000Z, 79.550875, 79.020793, 78.697111, 78.860432, 79.400716, 80.701319
2023-03-01T02:06:00.000Z, 81.163027, 80.106508, 78.379050, 79.151695, 79.946530, 82.285719
2023-03-01T02:08:00.000Z, 79.572248, 79.809050, 79.366401, 79.795444, 80.942511, 81.119970
2023-03-01T02:10:00.000Z, 79.737816, 80.237723, 79.267621, 79.773293, 80.227912, 80.949860
2023-03-01T02:12:00.000Z, 79.645201, 79.980142, 78.966599, 79.260962, 80.337435, 81.123933
2023-03-01T02:14:00.000Z, 80.279616, 80.804657, 80.567721, 80.026998, 80.659790, 81.561570
2023-03-01T02:16:00.000Z, 79.601022, 80.319306, 79.787184, 79.830332, 80.229251, 81.616060
2023-03-01T02:18:00.000Z, 80.265127, 81.275061, 80.626732, 80.506737, 80.882849, 82.343424
2023-03-01T02:20:00.000Z, 78.910187, 79.995271, 79.851217, 79.821425, 80.742612, 81.924225
2023-03-01T02:22:00.000Z, 79.262135, 80.659882, 80.441832, 80.067053, 80.797165, 82.337661
2023-03-01T02:24:00.000Z, 79.271781, 81.509797, 81.174568, 80.507528, 81.333737, 82.810080
2023-03-01T02:26:00.000Z, 79.549115, 82.060423, 81.396000, 80.782739, 81.997742, 83.241787
2023-03-01T02:28:00.000Z, 80.093587, 82.774627, 82.385033, 81.334737, 82.282285, 83.866591
2023-03-01T02:30:00.000Z, 79.965186, 82.781268, 82.380974, 81.647155, 82.266663, 83.606420
2023-03-01T02:32:00.000Z, 79.818405, 83.630871, 83.022747, 82.253234, 83.209957, 84.269400
2023-03-01T02:34:00.000Z, 80.115023, 83.546932, 82.952464, 82.496717, 83.452834, 84.285902
2023-03-01T02:36:00.000Z, 80.999796, 84.321166, 83.435417, 83.119569, 83.946258, 84.412425
2023-03-01T02:38:00.000Z, 81.040326, 83.779884, 83.506494, 82.619362, 83.052594, 84.271999
2023-03-01T02:40:00.000Z, 80.688555, 83.596938, 83.262931, 82.574971, 83.073259, 84.273159
2023-03-01T02:42:00.000Z, 80.976241, 84.174076, 83.772553, 83.103324, 83.553090, 84.932638
2023-03-01T02:44:00.000Z, 81.385531, 84.550686, 83.422693, 83.310920, 84.683544, 85.368823
2023-03-01T02:46:00.000Z, 82.170916, 84.502878, 84.028903, 83.799299, 84.649948, 85.044988
2023-03-01T02:48:00.000Z, 81.522659, 84.415995, 84.320461, 84.229107, 84.931228, 85.283214
2023-03-01T02:50:00.000Z, 81.426146, 84.015720, 83.890766, 83.613289, 84.101007, 85.319373
2023-03-01T02:52:00.000Z, 81.319260, 84.261826, 84.068640, 83.937845, 84.682206, 85.760311
2023-03-01T02:54:00.000Z, 81.983534, 84.382669, 84.524265, 84.921898, 85.525019, 87.735584
2023-03-01T02:56:00.000Z, 82.587892, 84.680027, 84.718875, 85.072301, 86.367001, 86.660108
2023-03-01T02:58:00.000Z, 83.493373, 86.083378, 86.065791, 86.233137, 87.106268, 88.216818
2023-03-01T03:00:00.000Z, 83.195863, 86.231044, 86.369829, 86.691467, 87.600625, 88.638717
2023-03-01T03:02:00.000Z, 83.652827, 86.530744, 86.406309, 86.827270, 87.606319, 88.911430
2023-03-01T03:04:00.000Z, 83.056667, 85.602208, 85.883400, 85.801689, 86.295433, 87.487915
2023-03-01T03:06:00.000Z, 82.708768, 84.955176, 85.239717, 85.369963, 85.965736, 87.119088
2023-03-01T03:08:00.000Z, 83.321185, 85.121291, 85.247675, 84.913773, 85.958295, 87.983391
2023-03-01T03:10:00.000Z, 82.807938, 85.299648, 84.638120, 84.877530, 85.766137, 86.609784
