yyyy-mm-ddTHH:MM:SSZ, BB_100-500 
2023-03-01T01:46:00.000Z, 90.915292
2023-03-01T01:48:00.000Z, 89.619251
2023-03-01T01:50:00.000Z, 89.136550
2023-03-01T01:52:00.000Z, 88.024891
2023-03-01T01:54:00.000Z, 89.994781
2023-03-01T01:56:00.000Z, 90.451681
2023-03-01T01:58:00.000Z, 88.327125
2023-03-01T02:00:00.000Z, 90.175928
2023-03-01T02:02:00.000Z, 89.090752
2023-03-01T02:04:00.000Z, 88.133207
2023-03-01T02:06:00.000Z, 91.634425
2023-03-01T02:08:00.000Z, 90.485480
2023-03-01T02:10:00.000Z, 89.477490
2023-03-01T02:12:00.000Z, 89.485174
2023-03-01T02:14:00.000Z, 89.774366
2023-03-01T02:16:00.000Z, 89.050455
2023-03-01T02:18:00.000Z, 89.846990
2023-03-01T02:20:00.000Z, 89.006138
2023-03-01T02:22:00.000Z, 89.475349
2023-03-01T02:24:00.000Z, 89.887638
2023-03-01T02:26:00.000Z, 90.274844
2023-03-01T02:28:00.000Z, 90.824455
2023-03-01T02:30:00.000Z, 90.880432
2023-03-01T02:32:00.000Z, 91.639461
2023-03-01T02:34:00.000Z, 91.643088
2023-03-01T02:36:00.000Z, 92.521812
2023-03-01T02:38:00.000Z, 91.919129
2023-03-01T02:40:00.000Z, 91.523245
2023-03-01T02:42:00.000Z, 92.502734
2023-03-01T02:44:00.000Z, 92.664037
2023-03-01T02:46:00.000Z, 93.052650
2023-03-01T02:48:00.000Z, 93.244771
2023-03-01T02:50:00.000Z, 92.512023
2023-03-01T02:52:00.000Z, 92.811935
2023-03-01T02:54:00.000Z, 94.596797
2023-03-01T02:56:00.000Z, 94.720539
2023-03-01T02:58:00.000Z, 95.260384
2023-03-01T03:00:00.000Z, 95.631539
2023-03-01T03:02:00.000Z, 95.647866
2023-03-01T03:04:00.000Z, 94.425420
2023-03-01T03:06:00.000Z, 93.971757
2023-03-01T03:08:00.000Z, 94.612154
2023-03-01T03:10:00.000Z, 93.973019
2023-03-01T03:12:00.000Z, 93.754818
2023-03-01T03:14:00.000Z, 93.508617
2023-03-01T03:16:00.000Z, 93.180846
2023-03-01T03:18:00.000Z, 94.504887
2023-03-01T03:20:00.000Z, 94.653454
2023-03-01T03:22:00.000Z, 94.133899
2023-03-01T03:24:00.000Z, 94.013546
2023-03-01T03:26:00.000Z, 93.905345
2023-03-01T03:28:00.000Z, 93.817212
2023-03-01T03:30:00.000Z, 94.760067
2023-03-01T03:32:00.000Z, 93.844159
