yyyy-mm-ddTHH:MM:SSZ, TOL_125, TOL_160, TOL_200, TOL_250, TOL_315, TOL_400 
2023-03-19T00:58:00.000Z, 76.416789, 75.226606, 74.943033, 75.273124, 75.485189, 75.405735
2023-03-19T01:00:00.000Z, 76.657802, 75.464350, 75.124765, 75.464754, 75.564754, 75.824625
2023-03-19T01:02:00.000Z, 76.566589, 76.368963, 76.271662, 76.672244, 78.347476, 76.460080
2023-03-19T01:04:00.000Z, 76.729120, 75.685497, 75.295942, 75.720730, 76.570491, 75.978907
2023-03-19T01:06:00.000Z, 76.616905, 75.661110, 74.973821, 76.068205, 77.412050, 75.789032
2023-03-19T01:08:00.000Z, 77.075381, 76.884438, 75.401196, 75.633474, 76.272126, 75.591251
2023-03-19T01:10:00.000Z, 76.826686, 77.212574, 75.278665, 75.474156, 76.849216, 75.922032
2023-03-19T01:12:00.000Z, 76.580774, 76.385010, 75.248214, 75.956721, 76.726053, 75.725392
2023-03-19T01:14:00.000Z, 76.839461, 78.560737, 75.400931, 75.864144, 75.591050, 76.162956
2023-03-19T01:16:00.000Z, 76.684746, 76.510104, 75.814353, 75.883128, 76.125827, 75.631170
2023-03-19T01:18:00.000Z, 76.427300, 75.794315, 75.309050, 75.619599, 76.244896, 76.769735
2023-03-19T01:20:00.000Z, 76.312151, 75.704812, 75.028516, 75.615603, 76.604100, 75.884169
2023-03-19T01:22:00.000Z, 77.772998, 80.094803, 77.811683, 77.951208, 79.210465, 78.203238
2023-03-19T01:24:00.000Z, 79.399917, 80.825699, 78.965348, 78.786399, 79.098700, 77.297946
2023-03-19T01:26:00.000Z, 77.634163, 77.050645, 76.665763, 76.770668, 77.223646, 76.171020
2023-03-19T01:28:00.000Z, 76.879660, 76.287664, 75.622236, 75.892966, 76.303796, 77.133927
2023-03-19T01:30:00.000Z, 78.287574, 80.220542, 77.927893, 77.326291, 81.257435, 80.484253
2023-03-19T01:32:00.000Z, 77.742755, 78.418143, 77.184081, 79.047156, 80.032510, 77.377829
2023-03-19T01:34:00.000Z, 79.442026, 80.025138, 78.858149, 78.821032, 79.972028, 78.470007
2023-03-19T01:36:00.000Z, 81.329937, 81.829253, 80.060651, 80.206848, 83.006189, 80.957887
2023-03-19T01:38:00.000Z, 79.897185, 81.656442, 83.012116, 82.362589, 84.787771, 85.084297
2023-03-19T01:40:00.000Z, 77.775146, 78.393271, 78.953823, 80.514933, 82.163351, 78.975021
2023-03-19T01:42:00.000Z, 77.976011, 79.153899, 78.142931, 79.358560, 79.542987, 77.765489
2023-03-19T01:44:00.000Z, 80.562963, 81.135944, 79.070729, 77.540980, 77.477741, 77.547834
2023-03-19T01:46:00.000Z, 77.555674, 78.935512, 77.141220, 77.284185, 77.121653, 77.528790
2023-03-19T01:48:00.000Z, 77.118146, 78.106969, 77.797217, 76.556437, 77.565825, 78.164870
2023-03-19T01:50:00.000Z, 78.419139, 79.254425, 77.485622, 79.094960, 83.666062, 78.565619
2023-03-19T01:52:00.000Z, 78.418539, 79.184684, 78.192933, 79.473667, 83.973328, 79.450204
2023-03-19T01:54:00.000Z, 80.031113, 81.134412, 80.038819, 80.410882, 82.460516, 80.030126
2023-03-19T01:56:00.000Z, 79.258021, 80.041714, 79.062087, 79.300255, 80.966781, 80.015281
2023-03-19T01:58:00.000Z, 77.517967, 77.474161, 76.976387, 77.831951, 79.678587, 78.110635
2023-03-19T02:00:00.000Z, 78.887118, 78.454569, 77.455125, 77.810827, 79.276639, 78.097937
2023-03-19T02:02:00.000Z, 77.646250, 77.934519, 77.026513, 77.933710, 80.574499, 79.419267
2023-03-19T02:04:00.000Z, 78.389227, 78.007223, 77.036845, 77.425767, 77.947296, 77.542198
