yyyy-mm-ddTHH:MM:SSZ, BB_100-500 
2023-03-19T00:58:00.000Z, 84.639506
2023-03-19T01:00:00.000Z, 84.703657
2023-03-19T01:02:00.000Z, 88.340940
2023-03-19T01:04:00.000Z, 85.268144
2023-03-19T01:06:00.000Z, 86.538165
2023-03-19T01:08:00.000Z, 85.498028
2023-03-19T01:10:00.000Z, 86.460074
2023-03-19T01:12:00.000Z, 86.001221
2023-03-19T01:14:00.000Z, 85.792575
2023-03-19T01:16:00.000Z, 85.971265
2023-03-19T01:18:00.000Z, 85.799588
2023-03-19T01:20:00.000Z, 85.724247
2023-03-19T01:22:00.000Z, 89.085056
2023-03-19T01:24:00.000Z, 89.322341
2023-03-19T01:26:00.000Z, 85.884971
2023-03-19T01:28:00.000Z, 86.077086
2023-03-19T01:30:00.000Z, 92.369905
2023-03-19T01:32:00.000Z, 88.962657
2023-03-19T01:34:00.000Z, 89.903763
2023-03-19T01:36:00.000Z, 91.752416
2023-03-19T01:38:00.000Z, 96.115535
2023-03-19T01:40:00.000Z, 89.819502
2023-03-19T01:42:00.000Z, 88.226440
2023-03-19T01:44:00.000Z, 89.934219
2023-03-19T01:46:00.000Z, 86.625630
2023-03-19T01:48:00.000Z, 88.350839
2023-03-19T01:50:00.000Z, 93.534311
2023-03-19T01:52:00.000Z, 91.978585
2023-03-19T01:54:00.000Z, 91.976253
2023-03-19T01:56:00.000Z, 89.855368
2023-03-19T01:58:00.000Z, 87.689626
2023-03-19T02:00:00.000Z, 90.734331
2023-03-19T02:02:00.000Z, 90.147161
2023-03-19T02:04:00.000Z, 86.768537
2023-03-19T02:06:00.000Z, 86.855589
2023-03-19T02:08:00.000Z, 86.720124
2023-03-19T02:10:00.000Z, 87.080301
2023-03-19T02:12:00.000Z, 86.721075
2023-03-19T02:14:00.000Z, 87.746311
2023-03-19T02:16:00.000Z, 87.648414
2023-03-19T02:18:00.000Z, 86.923708
2023-03-19T02:20:00.000Z, 88.610939
2023-03-19T02:22:00.000Z, 89.602890
2023-03-19T02:24:00.000Z, 87.639344
2023-03-19T02:26:00.000Z, 88.394084
2023-03-19T02:28:00.000Z, 91.250035
2023-03-19T02:30:00.000Z, 91.604391
2023-03-19T02:32:00.000Z, 88.877221
2023-03-19T02:34:00.000Z, 89.686387
2023-03-19T02:36:00.000Z, 89.608065
2023-03-19T02:38:00.000Z, 89.241817
2023-03-19T02:40:00.000Z, 87.735693
2023-03-19T02:42:00.000Z, 87.983714
2023-03-19T02:44:00.000Z, 87.986777
2023-03-19T02:46:00.000Z, 88.031939
2023-03-19T02:48:00.000Z, 88.788881
2023-03-19T02:50:00.000Z, 90.437428
2023-03-19T02:52:00.000Z, 89.618425
2023-03-19T02:54:00.000Z, 89.460087
2023-03-19T02:56:00.000Z, 90.681704
2023-03-19T02:58:00.000Z, 90.767228
2023-03-19T03:00:00.000Z, 91.174220
2023-03-19T03:02:00.000Z, 90.868069
2023-03-19T03:04:00.000Z, 90.638637
2023-03-19T03:06:00.000Z, 90.779093
2023-03-19T03:08:00.000Z, 91.795744
2023-03-19T03:10:00.000Z, 91.293149
2023-03-19T03:12:00.000Z, 91.137973
2023-03-19T03:14:00.000Z, 91.063784
2023-03-19T03:16:00.000Z, 91.068296
2023-03-19T03:18:00.000Z, 91.402562
2023-03-19T03:20:00.000Z, 91.884925
