V1,V2,V3
-124.708080808081,38.8,-3614.86328125
-124.691068580542,38.8,-3614.0634765625
-124.674056353004,38.8,-3609.49487304688
-124.657044125465,38.8,-3601.99487304688
-124.640031897927,38.8,-3592.97485351562
-124.623019670388,38.8,-3574.9248046875
-124.60600744285,38.8,-3568.884765625
-124.588995215311,38.8,-3569.33471679688
-124.571982987772,38.8,-3564.45483398438
-124.554970760234,38.8,-3555.72485351562
-124.537958532695,38.8,-3541.03588867188
-124.520946305157,38.8,-3524.19580078125
-124.503934077618,38.8,-3515.32568359375
-124.48692185008,38.8,-3503.7158203125
-124.469909622541,38.8,-3479.23583984375
-124.452897395003,38.8,-3459.18579101562
-124.435885167464,38.8,-3438.61572265625
-124.418872939926,38.8,-3418.505859375
-124.401860712387,38.8,-3395.29711914062
-124.384848484848,38.8,-3362.63696289062
-124.36783625731,38.8,-3321.88696289062
-124.350824029771,38.8,-3277.92700195312
-124.333811802233,38.8,-3248.36694335938
-124.316799574694,38.8,-3226.51708984375
-124.299787347156,38.8,-3196.0771484375
-124.282775119617,38.8,-3154.42700195312
-124.265762892079,38.8,-3092.03930664062
-124.24875066454,38.8,-3005.66943359375
-124.231738437002,38.8,-2924.61938476562
-124.214726209463,38.8,-2828.88940429688
-124.197713981925,38.8,-2707.71923828125
-124.180701754386,38.8,-2643.66943359375
-124.163689526847,38.8,-2645.57934570312
-124.146677299309,38.8,-2582.99926757812
-124.12966507177,38.8,-2372.87475585938
-124.112652844232,38.8,-2160.49487304688
-124.095640616693,38.8,-2029.79479980469
-124.078628389155,38.8,-1925.03479003906
-124.061616161616,38.8,-1799.34484863281
-124.044603934078,38.8,-1721.07482910156
-124.027591706539,38.8,-1685.65478515625
-124.010579479001,38.8,-1629.32482910156
-123.993567251462,38.8,-1543.04870605469
-123.976555023923,38.8,-1406.95874023438
-123.959542796385,38.8,-1292.57873535156
-123.942530568846,38.8,-1206.45874023438
-123.925518341308,38.8,-1099.49865722656
-123.908506113769,38.8,-913.888732910156
-123.891493886231,38.8,-689.318725585938
-123.874481658692,38.8,-472.9287109375
-123.857469431154,38.8,-316.471771240234
-123.840457203615,38.8,-193.911773681641
-123.823444976077,38.8,-145.831771850586
-123.806432748538,38.8,-135.041778564453
-123.789420520999,38.8,-132.941772460938
-123.772408293461,38.8,-131.521774291992
-123.755396065922,38.8,-128.261779785156
-123.738383838384,38.8,-121.981781005859
-123.721371610845,38.8,-113.960029602051
-123.704359383307,38.8,-106.290031433105
-123.687347155768,38.8,-99.5000305175781
-123.67033492823,38.8,-93.160026550293
-123.653322700691,38.8,-84.8700332641602
-123.636310473153,38.8,-77.1200332641602
-123.619298245614,38.8,-66.1000289916992
-123.602286018075,38.8,-52.840030670166
-123.585273790537,38.8,-36.3935432434082
-123.568261562998,38.8,-15.7135438919067
-123.55124933546,38.8,68.4364547729492
-123.534237107921,38.8,172.076461791992
-123.517224880383,38.8,221.986450195312
-123.500212652844,38.8,78.0064544677734
-123.483200425306,38.8,130.086456298828
-123.466188197767,38.8,267.536468505859
-123.449175970229,38.8,261.901519775391
-123.43216374269,38.8,390.721496582031
-123.415151515152,38.8,272.131500244141
-123.398139287613,38.8,285.121520996094
-123.381127060074,38.8,148.601501464844
-123.364114832536,38.8,201.97151184082
-123.347102604997,38.8,307.981506347656
-123.330090377459,38.8,367.341522216797
-123.31307814992,38.8,285.202667236328
-123.296065922382,38.8,367.112670898438
-123.279053694843,38.8,557.122680664062
-123.262041467305,38.8,624.142700195312
-123.245029239766,38.8,549.322692871094
