V1,V2,V3
-124.1,37.8391304347826,-3693.51586914062
-124.081818181818,37.8391304347826,-3704.916015625
-124.063636363636,37.8391304347826,-3700.17602539062
-124.045454545455,37.8391304347826,-3692.26586914062
-124.027272727273,37.8391304347826,-3680.0458984375
-124.009090909091,37.8391304347826,-3675.43603515625
-123.990909090909,37.8391304347826,-3667.98559570312
-123.972727272727,37.8391304347826,-3662.27563476562
-123.954545454545,37.8391304347826,-3651.2255859375
-123.936363636364,37.8391304347826,-3634.58569335938
-123.918181818182,37.8391304347826,-3604.14575195312
-123.9,37.8391304347826,-3577.27563476562
-123.881818181818,37.8391304347826,-3532.11572265625
-123.863636363636,37.8391304347826,-3504.60302734375
-123.845454545455,37.8391304347826,-3481.09301757812
-123.827272727273,37.8391304347826,-3451.23291015625
-123.809090909091,37.8391304347826,-3423.96313476562
-123.790909090909,37.8391304347826,-3398.71313476562
-123.772727272727,37.8391304347826,-3366.10302734375
-123.754545454545,37.8391304347826,-3338.82299804688
-123.736363636364,37.8391304347826,-3313.42309570312
-123.718181818182,37.8391304347826,-3283.66943359375
-123.7,37.8391304347826,-3256.439453125
-124.1,37.8216403162055,-3659.7158203125
-124.081818181818,37.8216403162055,-3663.55590820312
-124.063636363636,37.8216403162055,-3635.73583984375
-124.045454545455,37.8216403162055,-3648.5859375
-124.027272727273,37.8216403162055,-3648.6259765625
-124.009090909091,37.8216403162055,-3638.94580078125
-123.990909090909,37.8216403162055,-3632.1357421875
-123.972727272727,37.8216403162055,-3627.265625
-123.954545454545,37.8216403162055,-3624.57568359375
-123.936363636364,37.8216403162055,-3598.42553710938
-123.918181818182,37.8216403162055,-3568.64575195312
-123.9,37.8216403162055,-3538.765625
-123.881818181818,37.8216403162055,-3497.29565429688
-123.863636363636,37.8216403162055,-3476.96313476562
-123.845454545455,37.8216403162055,-3457.04296875
-123.827272727273,37.8216403162055,-3429.76293945312
-123.809090909091,37.8216403162055,-3405.4130859375
-123.790909090909,37.8216403162055,-3380.85302734375
-123.772727272727,37.8216403162055,-3353.03295898438
-123.754545454545,37.8216403162055,-3324.05297851562
-123.736363636364,37.8216403162055,-3293.9130859375
-123.718181818182,37.8216403162055,-3268.859375
-123.7,37.8216403162055,-3244.1494140625
-124.1,37.8041501976284,-3645.8759765625
-124.081818181818,37.8041501976284,-3604.34594726562
-124.063636363636,37.8041501976284,-3561.61596679688
-124.045454545455,37.8041501976284,-3554.05590820312
-124.027272727273,37.8041501976284,-3577.3759765625
-124.009090909091,37.8041501976284,-3594.49584960938
-123.990909090909,37.8041501976284,-3581.91552734375
-123.972727272727,37.8041501976284,-3593.27563476562
-123.954545454545,37.8041501976284,-3591.8056640625
-123.936363636364,37.8041501976284,-3585.42553710938
-123.918181818182,37.8041501976284,-3568.74560546875
-123.9,37.8041501976284,-3553.98559570312
-123.881818181818,37.8041501976284,-3476.12573242188
-123.863636363636,37.8041501976284,-3453.21313476562
-123.845454545455,37.8041501976284,-3427.85302734375
-123.827272727273,37.8041501976284,-3401.43310546875
-123.809090909091,37.8041501976284,-3380.22314453125
-123.790909090909,37.8041501976284,-3359.01293945312
-123.772727272727,37.8041501976284,-3337.89306640625
-123.754545454545,37.8041501976284,-3312.49291992188
-123.736363636364,37.8041501976284,-3283.88305664062
-123.718181818182,37.8041501976284,-3244.8095703125
-123.7,37.8041501976284,-3218.12939453125
-124.1,37.7866600790514,-3604.005859375
-124.081818181818,37.7866600790514,-3580.06591796875
