"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Begin.Date.Time","Begin.Hour","Species","Notes"
"1",1,"Spectrogram 1",1,5480.217675684,5542.721182815,6.1,733.2,"2023/3/11  22:07:19.218",22,"HmpSng",""
"2",2,"Spectrogram 1",1,6141.964651285,6177.86279591,378,768,"2023/3/11  22:18:21.965",22,"HmpSng",""
"3",3,"Spectrogram 1",1,7452.449474187,7515.716771629,192,660,"2023/3/11  22:40:12.449",22,"HmpSng",""
"4",4,"Spectrogram 1",1,8458.762902203,8544.94390898,126,744,"2023/3/11  22:56:58.763",22,"HmpSng",""
"5",5,"Spectrogram 1",1,8893.331437883,9038.324298621,168,702,"2023/3/11  23:04:13.331",23,"HmpSng",""
"6",6,"Spectrogram 1",1,9490.150695368,9599.500008251,144,768,"2023/3/11  23:14:09.151",23,"HmpSng",""
"7",7,"Spectrogram 1",1,9658.540349305,9731.355025636,138,1002,"2023/3/11  23:16:58.540",23,"HmpSng",""
"8",8,"Spectrogram 1",1,12701.883620521,12817.088659123,168,822,"2023/3/12  0:07:41.884",0,"HmpSng",""
"9",9,"Spectrogram 1",1,13297.789346299,13426.360715347,174,552,"2023/3/12  0:17:37.789",0,"HmpSng",""
"10",10,"Spectrogram 1",1,14131.846657768,14215.481696841,168,798,"2023/3/12  0:31:31.847",0,"HmpSng",""
"11",11,"Spectrogram 1",1,15267.141626297,15402.332511374,180,588,"2023/3/12  0:50:26.142",0,"HmpSng",""
"12",12,"Spectrogram 1",1,15748.404434701,15827.074836752,156,726,"2023/3/12  0:58:27.404",0,"HmpSng",""
"13",13,"Spectrogram 1",1,16205.88817975,16354.318096888,174,546,"2023/3/12  1:06:05.888",1,"HmpSng",""
"14",14,"Spectrogram 1",1,16384.360015794,16436.806950495,168,798,"2023/3/12  1:09:03.360",1,"HmpSng",""
"15",15,"Spectrogram 1",1,17090.356943423,17231.65815099,192,726,"2023/3/12  1:20:49.357",1,"HmpSng",""
"16",16,"Spectrogram 1",1,18489.468635431,18556.172989274,204,678,"2023/3/12  1:44:08.469",1,"HmpSng",""
"17",17,"Spectrogram 1",1,20657.666701438,20698.911378241,198,594,"2023/3/12  3:20:16.667",3,"HmpSng",""
"18",18,"Spectrogram 1",1,21535.389442362,21613.041457331,174,798,"2023/3/12  3:34:54.389",3,"HmpSng",""
"19",19,"Spectrogram 1",1,21703.14252104,21751.770504184,180,708,"2023/3/12  3:37:42.143",3,"HmpSng",""
"20",20,"Spectrogram 1",1,22029.356187942,22184.278322725,186,654,"2023/3/12  3:43:08.356",3,"HmpSng",""
"21",21,"Spectrogram 1",1,22728.121633958,22828.050866337,210,708,"2023/3/12  3:54:47.122",3,"HmpSng",""
"22",22,"Spectrogram 1",1,26874.942485738,26986.583169554,72,720,"2023/3/12  4:03:53.942",4,"HmpSng",""
"23",23,"Spectrogram 1",1,27992.393695662,28077.301718588,150,678,"2023/3/12  4:22:31.394",4,"HmpSng",""
"24",24,"Spectrogram 1",1,28504.081901462,28564.166739274,144,666,"2023/3/12  4:31:02.082",4,"HmpSng",""
"25",25,"Spectrogram 1",1,29200.277145097,29260.87117645,168,876,"2023/3/12  4:42:39.277",4,"HmpSng",""
"26",26,"Spectrogram 1",1,29672.884746641,29797.382567362,180,972,"2023/3/12  4:50:31.885",4,"HmpSng",""
"27",27,"Spectrogram 1",1,35095.263777758,35149.110994696,162,558,"2023/3/12  6:20:53.264",6,"HmpSng",""
"28",28,"Spectrogram 1",1,36075.84323892,36160.878560231,126,690,"2023/3/12  6:37:14.843",6,"HmpSng",""
"29",29,"Spectrogram 1",1,36549.113400401,36632.111947548,168,642,"2023/3/12  6:45:07.113",6,"HmpSng",""
"30",30,"Spectrogram 1",1,38495.150174564,38647.271744873,162,588,"2023/3/12  7:17:33.150",7,"HmpSng",""
"31",31,"Spectrogram 1",1,38714.480208923,38842.669682815,144,1032,"2023/3/12  7:21:12.480",7,"HmpSng",""
"32",32,"Spectrogram 1",1,39236.632950318,39322.686658711,186,828,"2023/3/12  7:29:54.633",7,"HmpSng",""
"33",33,"Spectrogram 1",1,39511.623072018,39602.004925507,174,726,"2023/3/12  7:34:29.623",7,"HmpSng",""
"34",34,"Spectrogram 1",1,41097.252508015,41189.543837282,192,702,"2023/3/12  8:00:55.253",8,"HmpSng",""
"35",35,"Spectrogram 1",1,41216.658393329,41262.103916843,234,762,"2023/3/12  8:02:54.658",8,"HmpSng",""
"36",36,"Spectrogram 1",1,41586.434967645,41724.044522041,60,528,"2023/3/12  8:09:04.435",8,"HmpSng",""
"37",37,"Spectrogram 1",1,41883.853298149,41995.621280351,0,906,"2023/3/12  8:14:02.853",8,"HmpSng",""
"38",38,"Spectrogram 1",1,43526.003217174,43644.26341702,0,924,"2023/3/12  8:41:24.003",8,"HmpSng",""
"39",39,"Spectrogram 1",1,44720.851470297,44875.51900831,0,1110,"2023/3/12  9:01:18.851",9,"HmpSng",""
"40",40,"Spectrogram 1",1,45289.086227133,45374.121548444,168,1080,"2023/3/12  9:10:47.086",9,"HmpSng",""
"41",41,"Spectrogram 1",1,48209.287073845,48289.103161363,78,738,"2023/3/12  9:59:27.287",9,"HmpSng",""
"42",42,"Spectrogram 1",1,48340.760321075,48396.26241702,144,942,"2023/3/12  10:01:38.760",10,"HmpSng",""
"43",43,"Spectrogram 1",1,49958.468325141,50049.486670556,6,864,"2023/3/12  10:28:36.468",10,"HmpSng",""
"44",44,"Spectrogram 1",1,50716.656924033,50771.395229668,186,912,"2023/3/12  10:41:14.657",10,"HmpSng",""
"45",45,"Spectrogram 1",1,53596.631481023,53663.463133251,30,918,"2023/3/12  11:29:14.631",11,"HmpSng",""
"46",46,"Spectrogram 1",1,55619.938375,55703.700712459,42,906,"2023/3/12  12:02:57.938",12,"HmpSng",""
"47",47,"Spectrogram 1",1,55869.596118046,55941.137810526,174,948,"2023/3/12  12:07:07.596",12,"HmpSng",""
"48",48,"Spectrogram 1",1,56549.648701438,56692.095594472,132,702,"2023/3/12  12:18:27.649",12,"HmpSng",""
