"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Begin.Date.Time","Begin.Hour","Species","Notes"
"1",1,"Spectrogram 1",1,6677.846441031,6776.871818915,162.162,862.408,"2023/3/11  23:45:17.8464",23,"HmpSng",NA
"2",2,"Spectrogram 1",1,7828.117703272,7901.719364113,162.162,891.892,"2023/3/12  0:04:27.1177",0,"HmpSng",NA
"3",3,"Spectrogram 1",1,13452.990522187,13524.685404249,199.017,714.988,"2023/3/12  1:38:12.9905",1,"HmpSng",NA
"4",4,"Spectrogram 1",1,14757.126111641,14850.304034605,184.275,589.681,"2023/3/12  1:59:56.1261",1,"HmpSng",NA
"5",5,"Spectrogram 1",1,16642.344569503,16697.259798317,140.049,346.437,"2023/3/12  2:31:21.3446",2,"HmpSng",NA
"6",6,"Spectrogram 1",1,18371.079298964,18460.697901542,184.275,597.052,"2023/3/12  3:00:10.0793",3,"HmpSng",NA
"7",7,"Spectrogram 1",1,21253.138470045,21386.612984522,199.017,958.231,"2023/3/12  3:48:12.1385",3,"HmpSng",NA
"8",8,"Spectrogram 1",1,21657.223095398,21709.087478166,103.194,877.15,"2023/3/12  3:54:56.2231",3,"HmpSng",NA
"9",9,"Spectrogram 1",1,26312.320430497,26357.765300435,140.049,523.342,"2023/3/12  5:12:31.3204",5,"Hmp",NA
"10",10,"Spectrogram 1",1,31483.922905897,31520.78729561,121.621,585.995,"2023/3/12  6:38:42.9229",6,"HmpSng",NA
"11",11,"Spectrogram 1",1,35325.01616955,35370.778860228,73.71,1002.457,"2023/3/12  7:42:43.0162",7,"HmpSng",NA
"12",12,"Spectrogram 1",1,36730.782940148,36760.147333333,58.968,663.391,"2023/3/12  8:06:09.7829",8,"HmpSng",NA
"13",13,"Spectrogram 1",1,37248.677039989,37348.465129384,140.049,803.44,"2023/3/12  8:14:47.6770",8,"HmpSng",NA
"14",14,"Spectrogram 1",1,39692.024480697,39747.702421022,81.081,1304.668,"2023/3/12  8:55:30.0245",8,"HmpSng",NA
"15",15,"Spectrogram 1",1,39966.270191443,40027.541349517,95.823,737.101,"2023/3/12  9:00:04.2702",9,"HmpSng",NA
"16",16,"Spectrogram 1",1,41641.871935617,41722.592237229,125.307,796.069,"2023/3/12  9:28:00.8719",9,"HmpSng",NA
"17",17,"Spectrogram 1",1,42288.473631179,42347.965129061,228.501,773.956,"2023/3/12  9:38:46.4736",9,"HmpSng",NA
"18",18,"Spectrogram 1",1,42928.28681762,43037.532271422,125.307,2867.322,"2023/3/12  9:49:26.2868",9,"HmpSng",NA
"19",19,"Spectrogram 1",1,43311.702421022,43430.304061029,81.081,1002.457,"2023/3/12  9:55:49.7024",9,"HmpSng",NA
"20",20,"Spectrogram 1",1,46870.616760946,46970.150613171,162.162,825.553,"2023/3/12  10:55:08.6168",10,"HmpSng",NA
"21",21,"Spectrogram 1",1,48391.095259858,48421.476601724,420.147,2557.74,"2023/3/12  11:20:28.0953",11,"HmpSng",NA
"22",22,"Spectrogram 1",1,50567.88780176,50654.90047334,339.066,2992.629,"2023/3/12  11:56:45.8878",11,"HmpSng",NA
"23",23,"Spectrogram 1",1,51453.904655779,51490.896164077,213.759,2845.209,"2023/3/12  12:11:31.9047",12,"HmpSng",NA
"24",24,"Spectrogram 1",1,54387.24369521,54441.904686853,162.162,2878.379,"2023/3/12  13:00:24.2437",13,"HmpSng",NA
"25",25,"Spectrogram 1",1,59116.209603696,59164.959609228,206.388,914.005,"2023/3/12  14:19:13.2096",14,"HmpSng",NA
"26",26,"Spectrogram 1",1,62359.311362906,62398.082531397,58.968,781.327,"2023/3/12  15:13:16.3114",15,"HmpSng",NA
"27",27,"Spectrogram 1",1,71549.15015319,71603.302670492,66.339,685.504,"2023/3/12  17:46:26.1502",17,"HmpSng",NA
"28",28,"Spectrogram 1",1,73752.446690914,73794.904298376,121.621,541.769,"2023/3/12  18:23:09.4467",18,"HmpSng",NA
"29",29,"Spectrogram 1",1,75784.845046228,75874.209411635,121.621,777.641,"2023/3/12  18:57:01.8450",18,"HmpSng",NA
"30",30,"Spectrogram 1",1,85117.221093809,85164.509207509,136.364,556.511,"2023/3/12  21:32:33.2211",21,"HmpSng",NA
"31",31,"Spectrogram 1",1,91731.887818473,91780.319999441,383.292,1562.654,"2023/3/12  23:22:47.8878",23,"HmpSng",NA
"32",32,"Spectrogram 1",1,93154.04037806,93206.667457392,132.678,1208.845,"2023/3/12  23:46:29.0404",23,"HmpSng",NA
"33",33,"Spectrogram 1",1,95486.870689854,95507.845256415,103.194,515.971,"2023/3/13  0:25:22.8707",0,"HmpSng",NA
"34",34,"Spectrogram 1",1,96283.776616584,96339.708794079,161.392,413.547,"2023/3/13  0:38:39.7766",0,"Hmp",NA
"35",35,"Spectrogram 1",1,97847.345725282,97944.387878237,162.686,1230.958,"2023/3/13  1:04:43.3457",1,"HmpSng",NA
"36",36,"Spectrogram 1",1,100020.896287841,100081.53185299,147.42,682.39,"2023/3/13  1:40:56.8963",1,"HmpSng",NA
"37",37,"Spectrogram 1",1,100325.765171375,100392.883784369,200.431,704.741,"2023/3/13  1:46:01.7652",1,"HmpSng",NA
"38",38,"Spectrogram 1",1,100994.612580244,101034.400697417,84.584,608.291,"2023/3/13  1:57:10.6126",1,"HmpSng",NA
"39",39,"Spectrogram 1",1,101787.578645598,101878.849789783,155.172,730.603,"2023/3/13  2:10:23.5786",2,"HmpSng",NA
