"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Begin.Date.Time","Begin.Hour","Species","Notes"
"1",1,"Spectrogram 1",1,5145.939787253,5193.482138124,184.275,958.231,"2023/3/11  22:25:45.9398",22,"HmpSng",NA
"2",2,"Spectrogram 1",1,6677.846441031,6776.871818915,162.162,862.408,"2023/3/11  22:51:17.8464",22,"HmpSng",NA
"3",3,"Spectrogram 1",1,7828.117703272,7901.719364113,162.162,891.892,"2023/3/11  23:10:27.1177",23,"HmpSng",NA
"4",4,"Spectrogram 1",1,13452.990522187,13524.685404249,199.017,714.988,"2023/3/12  0:44:12.9905",0,"HmpSng",NA
"5",5,"Spectrogram 1",1,14757.126111641,14850.304034605,184.275,589.681,"2023/3/12  1:05:56.1261",1,"Hmp",NA
"6",6,"Spectrogram 1",1,16642.344569503,16697.259798317,140.049,346.437,"2023/3/12  1:37:21.3446",1,"Hmp",NA
"7",7,"Spectrogram 1",1,18371.079298964,18460.697901542,184.275,597.052,"2023/3/12  2:06:10.0793",2,"Hmp",NA
"8",8,"Spectrogram 1",1,21253.138470045,21386.612984522,199.017,958.231,"2023/3/12  2:54:12.1385",2,"HmpSng",NA
"9",9,"Spectrogram 1",1,21657.223095398,21709.087478166,103.194,877.15,"2023/3/12  3:00:56.2231",3,"HmpSng",NA
"10",10,"Spectrogram 1",1,26323.570401012,26357.765300435,243.243,523.342,"2023/3/12  4:18:42.5704",4,"Hmp",NA
"11",11,"Spectrogram 1",1,27757.163632651,27806.86699947,140.049,972.973,"2023/3/12  4:42:36.1636",4,"HmpSng",NA
"12",12,"Spectrogram 1",1,31523.075451742,31559.939841455,243.243,707.617,"2023/3/12  5:45:21.0755",5,"Hmp",NA
"13",13,"Spectrogram 1",1,35325.01616955,35370.778860228,73.71,1002.457,"2023/3/12  6:48:43.0162",6,"HmpSng",NA
"14",14,"Spectrogram 1",1,36626.609220633,36713.685451507,132.678,737.101,"2023/3/12  7:10:25.6092",7,"HmpSng",NA
"15",15,"Spectrogram 1",1,37286.685486229,37386.473575624,176.904,840.295,"2023/3/12  7:21:25.6855",7,"HmpSng",NA
"16",16,"Spectrogram 1",1,39692.024480697,39747.702421022,81.081,1304.668,"2023/3/12  8:01:30.0245",8,"HmpSng",NA
"17",17,"Spectrogram 1",1,39966.270191443,40027.541349517,95.823,737.101,"2023/3/12  8:06:04.2702",8,"HmpSng",NA
"18",18,"Spectrogram 1",1,41641.871935617,41722.592237229,125.307,796.069,"2023/3/12  8:34:00.8719",8,"HmpSng",NA
"19",19,"Spectrogram 1",1,42288.473631179,42347.965129061,228.501,773.956,"2023/3/12  8:44:46.4736",8,"HmpSng",NA
"20",20,"Spectrogram 1",1,42800.024466808,42894.092219868,125.307,2697.789,"2023/3/12  8:53:18.0245",8,"HmpSng",NA
"21",21,"Spectrogram 1",1,43311.702421022,43430.304061029,81.081,1002.457,"2023/3/12  9:01:49.7024",9,"HmpSng",NA
"22",22,"Spectrogram 1",1,46870.616760946,46970.150613171,162.162,825.553,"2023/3/12  10:01:08.6168",10,"HmpSng",NA
"23",23,"Spectrogram 1",1,48445.108140772,48584.68434734,184.275,773.956,"2023/3/12  10:27:23.1081",10,"HmpSng",NA
"24",24,"Spectrogram 1",1,50594.201341161,50658.396226695,678.133,1783.784,"2023/3/12  11:03:12.2013",11,"HmpSng",NA
