"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Begin.Date.Time","Begin.Hour","Species","Notes"
"1",1,"Spectrogram 1",1,1286.77093238,1344.101414313,157.563,775.21,"2023/3/11  19:21:26.7709",19,"HmpSng",""
"2",2,"Spectrogram 1",1,2672.008012535,2732.516459098,113.445,661.765,"2023/3/11  19:44:31.0080",19,"HmpSng",""
"3",3,"Spectrogram 1",1,3605.490831215,3643.372169609,113.445,680.672,"2023/3/11  20:00:05.4908",20,"HmpSng",""
"4",4,"Spectrogram 1",1,7446.58407327,7542.050130767,157.563,1102.941,"2023/3/11  21:04:06.5841",21,"HmpSng",""
"5",5,"Spectrogram 1",1,11037.914569091,11143.168757651,69.328,548.319,"2023/3/11  22:03:57.9146",22,"HmpSng",""
"6",6,"Spectrogram 1",1,15067.702714042,15119.694215395,126.05,661.765,"2023/3/11  23:11:07.7027",23,"HmpSng",""
"7",7,"Spectrogram 1",1,17162.770515713,17273.872159193,126.05,592.437,"2023/3/11  23:46:02.7705",23,"HmpSng",""
"8",8,"Spectrogram 1",1,18633.736611405,18717.889114819,132.353,907.563,"2023/3/12  0:10:32.7366",0,"HmpSng",""
"9",9,"Spectrogram 1",1,21971.490470104,22024.626038724,81.933,712.185,"2023/3/12  1:06:10.4905",1,"HmpSng",""
"10",10,"Spectrogram 1",1,24661.80405891,24756.126049141,100.84,1121.849,"2023/3/12  1:51:00.8041",1,"HmpSng",""
"11",11,"Spectrogram 1",1,26232.862236935,26324.514736876,132.353,737.395,"2023/3/12  2:17:11.8622",2,"HmpSng",""
"12",12,"Spectrogram 1",1,29164.624191502,29227.420772599,75.63,863.445,"2023/3/12  3:06:03.6242",3,"HmpSng",""
"13",13,"Spectrogram 1",1,31592.208938383,31696.700415431,107.143,813.025,"2023/3/12  3:46:30.2089",3,"HmpSng",""
"14",14,"Spectrogram 1",1,32887.700464042,32961.683480638,75.63,712.185,"2023/3/12  4:08:06.7005",4,"HmpSng",""
"15",15,"Spectrogram 1",1,36312.32757221,36446.946153955,75.63,844.538,"2023/3/12  5:05:10.3276",5,"HmpSng",""
"16",16,"Spectrogram 1",1,36490.852738289,36568.395075271,144.958,787.815,"2023/3/12  5:08:09.8527",5,"HmpSng",""
"17",17,"Spectrogram 1",1,39715.598508063,39825.174728519,157.563,724.79,"2023/3/12  6:01:53.5985",6,"HmpSng",""
"18",18,"Spectrogram 1",1,41999.234010711,42074.9966875,56.723,1027.311,"2023/3/12  6:39:57.2340",6,"HmpSng",""
"19",19,"Spectrogram 1",1,42435.529810558,42580.190760534,44.118,1121.849,"2023/3/12  6:47:13.5298",6,"HmpSng",""
"20",20,"Spectrogram 1",1,43302.733007239,43404.936349753,94.538,926.471,"2023/3/12  7:01:40.7330",7,"HmpSng","humpback speghetti"
"21",21,"Spectrogram 1",1,46891.138388771,46978.977331156,107.143,1084.034,"2023/3/12  8:01:29.1384",8,"HmpSng",""
"22",22,"Spectrogram 1",1,50772.908328096,50840.154059675,132.353,686.975,"2023/3/12  9:06:10.9083",9,"HmpSng",""
"23",23,"Spectrogram 1",1,51291.196032074,51304.416364936,88.235,535.714,"2023/3/12  9:14:48.1960",9,"HmpSoc",""
"24",24,"Spectrogram 1",1,54371.101644185,54406.440610876,170.168,1121.849,"2023/3/12  10:06:08.1016",10,"HmpSng",""
"25",25,"Spectrogram 1",1,54637.135319327,54699.169188912,182.773,1380.252,"2023/3/12  10:10:34.1353",10,"HmpSng",""
"26",26,"Spectrogram 1",1,58693.744069091,58769.125390125,144.958,762.605,"2023/3/12  11:18:11.7441",11,"HmpSng",""
"27",27,"Spectrogram 1",1,59429.964200565,59477.760788606,75.63,1065.126,"2023/3/12  11:30:27.9642",11,"HmpSng",""
"28",28,"Spectrogram 1",1,60926.277817149,61089.370961982,119.748,1487.395,"2023/3/12  11:55:23.2778",11,"HmpSng",""
"29",29,"Spectrogram 1",1,61575.802573505,61697.582178143,56.723,1147.059,"2023/3/12  12:06:13.8026",12,"HmpSng",""
"30",30,"Spectrogram 1",1,64814.021663312,64897.030099459,107.143,1430.672,"2023/3/12  13:00:11.0217",13,"HmpSng",""
"31",31,"Spectrogram 1",1,68591.630475577,68696.376189795,44.118,705.882,"2023/3/12  14:03:08.6305",14,"HmpSng",""
"32",32,"Spectrogram 1",1,70970.872491253,71065.632062767,126.761,813.38,"2023/3/12  14:42:47.8725",14,"HmpSng",""
"33",33,"Spectrogram 1",1,72628.948980035,72720.102783988,73.944,781.69,"2023/3/12  15:10:25.9490",15,"HmpSng",""
"34",34,"Spectrogram 1",1,75727.140278379,75834.159459602,147.887,1394.366,"2023/3/12  16:02:03.1403",16,"HmpSng",""
"35",35,"Spectrogram 1",1,79433.523569511,79543.715826189,52.817,855.634,"2023/3/12  17:03:50.5236",17,"HmpSng",""
"36",36,"Spectrogram 1",1,82886.147379407,82964.897342949,169.014,686.62,"2023/3/12  18:01:22.1474",18,"HmpSng",""
"37",37,"Spectrogram 1",1,83927.550851763,84045.531566373,105.634,866.197,"2023/3/12  18:18:43.5509",18,"HmpSng",""
"38",38,"Spectrogram 1",1,85096.598245793,85236.213565772,105.634,1056.338,"2023/3/12  18:38:12.5982",18,"HmpSng",""
