"","Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","Begin.Date.Time","Begin.Hour","Species","Notes"
"1",1,"Spectrogram 1",1,2628.735187794,2694.074140596,124.784,998.268,"2023/3/11  22:13:48.7352",22,"HmpSng",NA
"2",2,"Spectrogram 1",1,5208.990601165,5256.532952036,180.59,954.546,"2023/3/11  22:56:48.9906",22,"HmpSng",NA
"3",3,"Spectrogram 1",1,6677.846441031,6776.871818915,162.162,862.408,"2023/3/11  23:21:17.8464",23,"HmpSng",NA
"4",4,"Spectrogram 1",1,13432.905769715,13504.600651777,140.049,656.02,"2023/3/12  1:13:52.9058",1,"HmpSng",NA
"5",5,"Spectrogram 1",1,14795.388774335,14888.566697299,128.992,534.398,"2023/3/12  1:36:34.3888",1,"Hmp",NA
"6",6,"Spectrogram 1",1,16597.59885193,16652.514080744,147.42,648.649,"2023/3/12  2:06:36.5989",2,"Hmp",NA
"7",7,"Spectrogram 1",1,18371.079298964,18460.697901542,184.275,597.052,"2023/3/12  2:36:10.0793",2,"Hmp",NA
"8",8,"Spectrogram 1",1,21253.774044021,21387.248558498,106.879,866.093,"2023/3/12  3:24:12.7740",3,"HmpSng",NA
"9",9,"Spectrogram 1",1,26364.12128128,26398.316180703,316.871,840.213,"2023/3/12  4:49:22.1213",4,"Hmp",NA
"10",10,"Spectrogram 1",1,27114.946829861,27141.514614171,283.599,737.357,"2023/3/12  5:01:53.9468",5,"Hmp",NA
"11",11,"Spectrogram 1",1,31523.075451742,31559.939841455,243.243,707.617,"2023/3/12  6:15:21.0755",6,"Hmp",NA
"12",12,"Spectrogram 1",1,33853.159020539,33952.311517008,235.872,1024.57,"2023/3/12  6:54:11.1590",6,"HmpSng",NA
"13",13,"Spectrogram 1",1,35386.003010198,35431.765700876,13.404,942.151,"2023/3/12  7:19:44.0030",7,"HmpSng",NA
"14",14,"Spectrogram 1",1,36626.609220633,36713.685451507,132.678,737.101,"2023/3/12  7:40:25.6092",7,"HmpSng",NA
"15",15,"Spectrogram 1",1,37286.685486229,37386.473575624,176.904,840.295,"2023/3/12  7:51:25.6855",7,"HmpSng",NA
"16",16,"Spectrogram 1",1,39710.675795325,39766.35373565,165.984,1389.571,"2023/3/12  8:31:48.6758",8,"HmpSng",NA
"17",17,"Spectrogram 1",1,39966.270191443,40027.541349517,95.823,737.101,"2023/3/12  8:36:04.2702",8,"HmpSng",NA
"18",18,"Spectrogram 1",1,41597.908178758,41689.189358621,133.333,1790.937,"2023/3/12  9:03:16.9082",9,"HmpSng",NA
"19",19,"Spectrogram 1",1,42236.360860266,42347.965129061,228.501,1822.222,"2023/3/12  9:13:54.3609",9,"HmpSng",NA
"20",20,"Spectrogram 1",1,42800.024466808,42894.092219868,125.307,2697.789,"2023/3/12  9:23:18.0245",9,"HmpSng",NA
"21",21,"Spectrogram 1",1,43311.702421022,43430.304061029,81.081,1002.457,"2023/3/12  9:31:49.7024",9,"HmpSng",NA
"22",22,"Spectrogram 1",1,46870.616760946,46970.150613171,162.162,825.553,"2023/3/12  10:31:08.6168",10,"HmpSng",NA
"23",23,"Spectrogram 1",1,48538.580407895,48584.68434734,184.275,773.956,"2023/3/12  10:58:56.5804",10,"HmpSng",NA
"24",24,"Spectrogram 1",1,50561.214076036,50658.396226695,125.307,2727.273,"2023/3/12  11:32:39.2141",11,"HmpSng",NA
"25",25,"Spectrogram 1",1,51492.548705685,51536.78597334,88.452,619.165,"2023/3/12  11:48:10.5487",11,"HmpSng",NA
"26",26,"Spectrogram 1",1,54386.989458039,54451.819936499,711.302,1455.774,"2023/3/12  12:36:24.9895",12,"HmpSng",NA
"27",27,"Spectrogram 1",1,62405.328300024,62444.099468515,162.162,884.521,"2023/3/12  14:50:02.3283",14,"HmpSng",NA
"28",28,"Spectrogram 1",1,71017.133372822,71057.938438677,176.904,619.165,"2023/3/12  17:13:34.1334",17,"HmpSng",NA
"29",29,"Spectrogram 1",1,71470.717986111,71524.870503413,110.565,729.73,"2023/3/12  17:21:07.7180",17,"HmpSng",NA
"30",30,"Spectrogram 1",1,73782.065321151,73824.522928613,132.678,552.826,"2023/3/12  17:59:38.0653",17,"HmpSng",NA
"31",31,"Spectrogram 1",1,75848.912813177,75938.277178584,33.169,689.189,"2023/3/12  18:34:05.9128",18,"HmpSng",NA
"32",32,"Spectrogram 1",1,90349.776896716,90374.565020833,257.985,737.101,"2023/3/12  22:35:45.7769",22,"Hmp",NA
"33",33,"Spectrogram 1",1,95486.870689854,95507.845256415,103.194,515.971,"2023/3/13  0:01:22.8707",0,"Hmp",NA
"34",34,"Spectrogram 1",1,96456.073532162,96490.268431586,53.94,771.613,"2023/3/13  0:17:31.0735",0,"Hmp",NA
"35",35,"Spectrogram 1",1,99797.688919668,99885.273624882,103.448,568.966,"2023/3/13  1:13:13.6889",1,"HmpSng",NA
"36",36,"Spectrogram 1",1,100883.066021716,100887.642290784,110.565,589.681,"2023/3/13  1:31:18.0660",1,"Hmp",NA
"37",37,"Spectrogram 1",1,101820.883705567,101878.849789783,155.172,730.603,"2023/3/13  1:46:56.8837",1,"HmpSng",NA
"38",38,"Spectrogram 1",1,102569.549,102655.608282192,58.984,796.053,"2023/3/13  1:59:25.5490",1,"HmpSng",NA
"39",39,"Spectrogram 1",1,105716.129422846,105796.849724459,90.517,691.81,"2023/3/13  2:51:51.1294",2,"HmpSng",NA
"40",40,"Spectrogram 1",1,106444.519175906,106507.315757003,84.052,898.707,"2023/3/13  3:03:59.5192",3,"HmpSng",NA
"41",41,"Spectrogram 1",1,108066.298592897,108154.900246793,95.06,715.75,"2023/3/13  3:31:01.2986",3,"Hmp",NA
"42",42,"Spectrogram 1",1,108588.018529632,108620.688006032,110.565,748.34,"2023/3/13  3:39:43.0185",3,"HmpSng",NA
"43",43,"Spectrogram 1",1,108927.526875942,109033.670894597,116.379,859.914,"2023/3/13  3:45:22.5269",3,"HmpSng",NA
"44",44,"Spectrogram 1",1,112031.26840678,112075.18786064,64.655,626.536,"2023/3/13  4:37:06.2684",4,"Hmp",NA
"45",45,"Spectrogram 1",1,115234.721712865,115349.255558145,142.241,543.103,"2023/3/13  5:30:29.7217",5,"HmpSng",NA
"46",46,"Spectrogram 1",1,116367.323408427,116488.340301554,184.275,717.672,"2023/3/13  5:49:22.3234",5,"HmpSng",NA
"47",47,"Spectrogram 1",1,117302.077662959,117430.086078272,96.983,808.19,"2023/3/13  6:04:56.0777",6,"HmpSng",NA
"48",48,"Spectrogram 1",1,118133.052312853,118241.230228872,90.517,782.328,"2023/3/13  6:18:47.0523",6,"HmpSng",NA
"49",49,"Spectrogram 1",1,120404.103158898,120494.611591573,142.241,853.448,"2023/3/13  6:56:38.1032",6,"HmpSng",NA
"50",50,"Spectrogram 1",1,122551.162461923,122605.442097811,84.052,982.759,"2023/3/13  7:32:25.1625",7,"HmpSng",NA
"51",51,"Spectrogram 1",1,126201.908231844,126295.086154808,213.251,627.044,"2023/3/13  8:33:16.9082",8,"HmpSng",NA
"52",52,"Spectrogram 1",1,129176.891283016,129232.187867585,181.034,756.466,"2023/3/13  9:22:51.8913",9,"HmpSng",NA
"53",53,"Spectrogram 1",1,130458.272634298,130577.382760064,135.776,1221.983,"2023/3/13  9:44:12.2726",9,"HmpSng",NA
